slug,video_id,title,recorded_on,published_at,year,speakers,num_languages,url
taylor_wilson_my_radical_plan_for_small_nuclear_fission_reactors,1727,טיילור ווילסון: התוכנית הרדיקלית שלי לכורי ביקוע גרעיני קטנים,2013-02-27,2013-04-30T15:01:22Z,2013,Taylor Wilson,28,https://www.ted.com/talks/taylor_wilson_my_radical_plan_for_small_nuclear_fission_reactors
nilofer_merchant_got_a_meeting_take_a_walk,1726,נילופר מרצ'נט: יש לך פגישה? צא להליכה!,2013-02-26,2013-04-29T15:00:49Z,2013,Nilofer Merchant,50,https://www.ted.com/talks/nilofer_merchant_got_a_meeting_take_a_walk
david_pogue_10_top_time_saving_tech_tips,1725,דייויד פוג: 10 טיפים לחסכון זמן בטכנולוגיה ,2013-02-25,2013-04-26T15:07:17Z,2013,David Pogue,44,https://www.ted.com/talks/david_pogue_10_top_time_saving_tech_tips
sanjay_dastoor_a_skateboard_with_a_boost,1704,"סנג'איי דאסטור:  סקייטבורד, עם מנוע עזר",2013-02-27,2013-04-02T15:06:45Z,2013,Sanjay Dastoor,40,https://www.ted.com/talks/sanjay_dastoor_a_skateboard_with_a_boost
richard_turere_my_invention_that_made_peace_with_lions,1699,"ריצ'רד טוררה: ההמצאה שלי, שהשכינה שלום עם האריות",2013-02-27,2013-03-27T13:59:29Z,2013,Richard Turere,44,https://www.ted.com/talks/richard_turere_my_invention_that_made_peace_with_lions
mark_shaw_one_very_dry_demo,1700,"מארק שואו: הדגמה ""על-יבש"" יבשה ביותר",2013-02-28,2013-03-26T15:00:23Z,2013,Mark Shaw,36,https://www.ted.com/talks/mark_shaw_one_very_dry_demo
hyeonseo_lee_my_escape_from_north_korea,1694,היונסיו לי: בריחתי מצפון קוריאה,2013-02-28,2013-03-20T14:59:48Z,2013,Hyeonseo Lee,45,https://www.ted.com/talks/hyeonseo_lee_my_escape_from_north_korea
elon_musk_the_mind_behind_tesla_spacex_solarcity,1695,"אילון מאסק: המוח שמאחורי ""טסלה"", ""ספייס אקס"", ""סולאר-סיטי""...",2013-02-28,2013-03-19T14:57:42Z,2013,Elon Musk,35,https://www.ted.com/talks/elon_musk_the_mind_behind_tesla_spacex_solarcity
shane_koyczan_to_this_day_for_the_bullied_and_beautiful,1687,"שיין קויקזן: ""עד עצם היום הזה""... לכבוד קורבנות הבריונות היפים",2013-02-28,2013-03-08T16:01:43Z,2013,Shane Koyczan,35,https://www.ted.com/talks/shane_koyczan_to_this_day_for_the_bullied_and_beautiful
allan_savory_how_to_fight_desertification_and_reverse_climate_change,1683,אלן סאבורי: כיצד להוריק את המדבר ולהפוך את שינויי האקלים,2013-02-28,2013-03-04T15:51:11Z,2013,Allan Savory,35,https://www.ted.com/talks/allan_savory_how_to_fight_desertification_and_reverse_climate_change
amanda_palmer_the_art_of_asking,1682,אמנדה פאלמר: האמנות לבקש,2013-02-27,2013-03-01T17:26:47Z,2013,Amanda Palmer,43,https://www.ted.com/talks/amanda_palmer_the_art_of_asking
sugata_mitra_build_a_school_in_the_cloud,1678,סוגטה מיטרה: לבנות בית-ספר בענן,2013-02-26,2013-02-27T22:38:00Z,2013,Sugata Mitra,44,https://www.ted.com/talks/sugata_mitra_build_a_school_in_the_cloud
esther_perel_the_secret_to_desire_in_a_long_term_relationship,1669,אסתר פרל: הסוד לתשוקה במערכת יחסים ממושכת,2013-02-11,2013-02-14T16:07:00Z,2013,Esther Perel,36,https://www.ted.com/talks/esther_perel_the_secret_to_desire_in_a_long_term_relationship
andy_puddicombe_all_it_takes_is_10_mindful_minutes,1640,אנדי פאדיקומב: דרושות רק 10 דקות של מודעות,2012-11-16,2013-01-11T15:58:35Z,2012,Andy Puddicombe,40,https://www.ted.com/talks/andy_puddicombe_all_it_takes_is_10_mindful_minutes
steven_addis_a_father_daughter_bond_one_photo_at_a_time,1634,"סטיבן אדיס: קשר אב ובת, תמונה אחת כל פעם",2012-02-29,2012-12-19T11:00:00Z,2012,Steven Addis,47,https://www.ted.com/talks/steven_addis_a_father_daughter_bond_one_photo_at_a_time
molly_crockett_beware_neuro_bunk,1633,מולי קרוקט:  הישמרו מהונאת-נוירו,2012-11-07,2012-12-18T16:12:34Z,2012,Molly Crockett,29,https://www.ted.com/talks/molly_crockett_beware_neuro_bunk
marco_tempest_a_cyber_magic_card_trick_like_no_other,1602,מרקו טמפסט: קסם קלפים קיברנטי שעוד לא ראיתם,2012-06-28,2012-10-26T15:00:15Z,2012,Marco Tempest,37,https://www.ted.com/talks/marco_tempest_a_cyber_magic_card_trick_like_no_other
melissa_marshall_talk_nerdy_to_me,1592,מליסה מרשל: דברו אלי בחנונית,2012-06-26,2012-10-11T15:00:14Z,2012,Melissa Marshall,42,https://www.ted.com/talks/melissa_marshall_talk_nerdy_to_me
tim_leberecht_3_ways_to_usefully_lose_control_of_your_brand,1591,טים לברכט: שלוש דרכים (יעילות) לאבד שליטה על המותג שלך.,2012-06-25,2012-10-08T15:16:07Z,2012,Tim Leberecht,33,https://www.ted.com/talks/tim_leberecht_3_ways_to_usefully_lose_control_of_your_brand
amy_cuddy_your_body_language_may_shape_who_you_are,1569,אמי קדי:  שפת הגוף שלכם מעצבת אתכם,2012-06-26,2012-10-01T15:00:08Z,2012,Amy Cuddy,50,https://www.ted.com/talks/amy_cuddy_your_body_language_may_shape_who_you_are
ben_goldacre_what_doctors_don_t_know_about_the_drugs_they_prescribe,1575,בן גולדייקר: מה שהרופאים אינם יודעים על התרופות שהם רושמים,2012-06-05,2012-09-27T15:01:44Z,2012,Ben Goldacre,35,https://www.ted.com/talks/ben_goldacre_what_doctors_don_t_know_about_the_drugs_they_prescribe
jon_ronson_strange_answers_to_the_psychopath_test,1544,ג'ון רונסון: תשובות משונות למיבדק הפסיכופטיה,2012-03-01,2012-08-15T15:18:05Z,2012,Jon Ronson,33,https://www.ted.com/talks/jon_ronson_strange_answers_to_the_psychopath_test
alanna_shaikh_how_i_m_preparing_to_get_alzheimer_s,1498,אלנה שייך: איך אני מתכוננת לחלות באלצהיימר,2012-06-25,2012-07-03T15:00:08Z,2012,Alanna Shaikh,42,https://www.ted.com/talks/alanna_shaikh_how_i_m_preparing_to_get_alzheimer_s
damian_palin_mining_minerals_from_seawater,1470,דמיאן פאלין: כריית מינרלים ממי ים,2012-02-27,2012-06-07T16:30:29Z,2012,Damian Palin,41,https://www.ted.com/talks/damian_palin_mining_minerals_from_seawater
brian_greene_is_our_universe_the_only_universe,1426,בריאן גרין:  האם יקומנו הוא היקום היחיד?,2012-02-27,2012-04-23T15:19:03Z,2012,Brian Greene,33,https://www.ted.com/talks/brian_greene_is_our_universe_the_only_universe
chip_kidd_designing_books_is_no_laughing_matter_ok_it_is,1410,"צ'יפ קיד: עיצוב ספרים זה לא נושא לצחוק.
אוקיי, זה כן.",2012-03-01,2012-04-04T15:16:25Z,2012,Chip Kidd,37,https://www.ted.com/talks/chip_kidd_designing_books_is_no_laughing_matter_ok_it_is
sherry_turkle_connected_but_alone,1409,שרי טרקל: מחוברים אבל לבד?,2012-02-29,2012-04-03T15:09:09Z,2012,Sherry Turkle,36,https://www.ted.com/talks/sherry_turkle_connected_but_alone
brene_brown_listening_to_shame,1391,ברנה בראון: להקשיב לבושה,2012-03-02,2012-03-16T15:16:54Z,2012,Brené Brown,40,https://www.ted.com/talks/brene_brown_listening_to_shame
james_hansen_why_i_must_speak_out_about_climate_change,1380,ג'יימס האנסן: למה אני חיב לדבר על שינוי האקלים,2012-02-29,2012-03-07T16:08:59Z,2012,James Hansen,30,https://www.ted.com/talks/james_hansen_why_i_must_speak_out_about_climate_change
susan_cain_the_power_of_introverts,1377,סוזן קיין: כוחם של המופנמים,2012-02-28,2012-03-02T20:28:12Z,2012,Susan Cain,47,https://www.ted.com/talks/susan_cain_the_power_of_introverts
paul_gilding_the_earth_is_full,1374,פול גילדינג: כדור הארץ מלא,2012-02-28,2012-02-29T17:30:00Z,2012,Paul Gilding,30,https://www.ted.com/talks/paul_gilding_the_earth_is_full
kevin_allocca_why_videos_go_viral,1371,קווין אולוקה: מודע סרטונים נהפכים לויראלים,2011-11-19,2012-02-27T18:09:15Z,2011,Kevin Allocca,38,https://www.ted.com/talks/kevin_allocca_why_videos_go_viral
mike_degruy_hooked_by_an_octopus,830,"מייק דה-גריו: נתפס ע""י תמנון",2010-04-07,2012-02-04T08:14:00Z,2010,Mike deGruy,28,https://www.ted.com/talks/mike_degruy_hooked_by_an_octopus
a_j_jacobs_how_healthy_living_nearly_killed_me,1312,א.ג'. ג'ייקובס: איך חיים בריאים כמעט הרגו אותי,2011-10-28,2012-01-03T15:20:02Z,2011,A.J. Jacobs,40,https://www.ted.com/talks/a_j_jacobs_how_healthy_living_nearly_killed_me
cheryl_hayashi_the_magnificence_of_spider_silk,1296,שריל הייאשי: נפלאות קורי העכביש,2010-02-21,2011-12-07T15:50:05Z,2010,Cheryl Hayashi,30,https://www.ted.com/talks/cheryl_hayashi_the_magnificence_of_spider_silk
damon_horowitz_philosophy_in_prison,1286,דיימון הורוביץ: פילוסופיה בכלא,2011-03-04,2011-11-28T16:22:47Z,2011,Damon Horowitz,49,https://www.ted.com/talks/damon_horowitz_philosophy_in_prison
joe_sabia_the_technology_of_storytelling,1282,ג'ו סביה: הטכנולוגיה של סיפור סיפורים,2011-05-24,2011-11-23T16:11:04Z,2011,Joe Sabia,50,https://www.ted.com/talks/joe_sabia_the_technology_of_storytelling
paul_zak_trust_morality_and_oxytocin,1259,"פול זאק:  אמון, מוסריות -- ואוקסיטוצין -- חומר המשמש לזירוז לידה ",2011-07-13,2011-11-01T14:53:41Z,2011,Paul Zak,37,https://www.ted.com/talks/paul_zak_trust_morality_and_oxytocin
bunker_roy_learning_from_a_barefoot_movement,1248,Learning from a barefoot movement,2011-07-14,2011-10-17T15:08:51Z,2011,Bunker Roy,45,https://www.ted.com/talks/bunker_roy_learning_from_a_barefoot_movement
alison_gopnik_what_do_babies_think,1241,אליסון גופניק: מה תינוקות חושבים?,2011-07-13,2011-10-10T15:12:56Z,2011,Alison Gopnik,40,https://www.ted.com/talks/alison_gopnik_what_do_babies_think
mike_biddle_we_can_recycle_plastic,1239,מייק בידל: אנחנו יכולים למחזר פלסטיק,2011-07-14,2011-10-06T15:10:03Z,2011,Mike Biddle,39,https://www.ted.com/talks/mike_biddle_we_can_recycle_plastic
graham_hill_less_stuff_more_happiness,1238,"Less stuff, more happiness",2011-03-01,2011-10-05T15:08:50Z,2011,Graham Hill,49,https://www.ted.com/talks/graham_hill_less_stuff_more_happiness
yang_lan_the_generation_that_s_remaking_china,1236,יאנג לאן: הדור שממציא מחדש את סין,2011-07-13,2011-10-03T15:03:21Z,2011,Yang Lan,33,https://www.ted.com/talks/yang_lan_the_generation_that_s_remaking_china
amy_lockwood_selling_condoms_in_the_congo,1228,איימי לוקווד: מכירת קונדומים בקונגו,2011-07-14,2011-09-21T15:24:41Z,2011,Amy Lockwood,40,https://www.ted.com/talks/amy_lockwood_selling_condoms_in_the_congo
dan_ariely_beware_conflicts_of_interest,1212,דן אריאלי: היזהרו מניגודי אינטרסים,2011-03-01,2011-08-29T14:29:34Z,2011,Dan Ariely,42,https://www.ted.com/talks/dan_ariely_beware_conflicts_of_interest
paul_bloom_the_origins_of_pleasure,1198,פול בלום: מקורות התענוג,2011-07-13,2011-07-27T14:52:08Z,2011,Paul Bloom,41,https://www.ted.com/talks/paul_bloom_the_origins_of_pleasure
mikko_hypponen_fighting_viruses_defending_the_net,1192,"מיקו היפונן: מלחמה בוירוסים, הגנה על הרשת",2011-07-14,2011-07-19T14:27:57Z,2011,Mikko Hypponen,39,https://www.ted.com/talks/mikko_hypponen_fighting_viruses_defending_the_net
nina_tandon_caring_for_engineered_tissue,1187,נינה טנדון: לדאוג לרקמה מהונדסת,2011-03-02,2011-07-08T00:00:00Z,2011,Nina Tandon,40,https://www.ted.com/talks/nina_tandon_caring_for_engineered_tissue
robert_hammond_building_a_park_in_the_sky,1182,רוברט המונד: בניית פארק בשמיים,2011-03-03,2011-06-30T14:54:00Z,2011,Robert Hammond,36,https://www.ted.com/talks/robert_hammond_building_a_park_in_the_sky
rajesh_rao_a_rosetta_stone_for_a_lost_language,1180,ראג'ש ראוו: אבן רוזטה -- המפתח לפיענוח -- של כתב תרבות האינדוס,2011-03-02,2011-06-28T00:00:00Z,2011,Rajesh Rao,38,https://www.ted.com/talks/rajesh_rao_a_rosetta_stone_for_a_lost_language
joshua_walters_on_being_just_crazy_enough,1178,ג'ושוע וולטרס: על להיות משוגע מספיק,2011-05-24,2011-06-24T15:50:15Z,2011,Joshua Walters,39,https://www.ted.com/talks/joshua_walters_on_being_just_crazy_enough
daniel_tammet_different_ways_of_knowing,1175,דניאל טאמט: דרכים שונות של ידיעה,2011-03-03,2011-06-21T14:47:00Z,2011,Daniel Tammet,38,https://www.ted.com/talks/daniel_tammet_different_ways_of_knowing
jessi_arrington_wearing_nothing_new,1161,ג'סי ארינגטון: לא ללבוש בגדים חדשים,2011-03-03,2011-06-03T18:05:00Z,2011,Jessi Arrington,41,https://www.ted.com/talks/jessi_arrington_wearing_nothing_new
elliot_krane_the_mystery_of_chronic_pain,1148,אליוט קריין: המיסתורין של הכאב הכרוני,2011-03-02,2011-05-18T14:23:00Z,2011,Elliot Krane,38,https://www.ted.com/talks/elliot_krane_the_mystery_of_chronic_pain
ron_gutman_the_hidden_power_of_smiling,1143,רון גוטמן: הכח הנסתר של החיוך,2011-03-02,2011-05-11T14:14:00Z,2011,Ron Gutman,50,https://www.ted.com/talks/ron_gutman_the_hidden_power_of_smiling
paul_nicklen_animal_tales_from_icy_wonderlands,1141,פול ניקלן: סיפורים על ארץ פלאים עטופת קרח,2011-03-02,2011-05-09T14:38:00Z,2011,Paul Nicklen,35,https://www.ted.com/talks/paul_nicklen_animal_tales_from_icy_wonderlands
david_christian_the_history_of_our_world_in_18_minutes,1118,דייויד כריסטיאן:  ההיסטוריה הגדולה,2011-03-04,2011-04-11T14:00:00Z,2011,David Christian,39,https://www.ted.com/talks/david_christian_the_history_of_our_world_in_18_minutes
eric_whitacre_a_virtual_choir_2_000_voices_strong,1110,"אריק וויטקר: מקהלה וירטואלית בת 2,000 קולות",2011-03-01,2011-04-01T14:26:00Z,2011,Eric Whitacre,36,https://www.ted.com/talks/eric_whitacre_a_virtual_choir_2_000_voices_strong
ralph_langner_cracking_stuxnet_a_21st_century_cyber_weapon,1107,"ראלף לאנגנר: פיצוח סטאקסנט, נשק קיברנטי של המאה ה-21",2011-03-03,2011-03-29T13:12:00Z,2011,Ralph Langner,32,https://www.ted.com/talks/ralph_langner_cracking_stuxnet_a_21st_century_cyber_weapon
eythor_bender_human_exoskeletons_for_war_and_healing,1104,אית'ור בנדר מדגים שלדים מכניים לבני אדם,2011-03-02,2011-03-24T14:23:00Z,2011,Eythor Bender,33,https://www.ted.com/talks/eythor_bender_human_exoskeletons_for_war_and_healing
hans_rosling_the_magic_washing_machine,1101,הנס רוזלינג ומכונת הכביסה הקסומה,2010-12-04,2011-03-21T13:33:00Z,2010,Hans Rosling,49,https://www.ted.com/talks/hans_rosling_the_magic_washing_machine
mark_bezos_a_life_lesson_from_a_volunteer_firefighter,1096,לקח לכל החיים מכבאי מתנדב,2011-03-02,2011-03-16T14:41:00Z,2011,מארק בזוס,50,https://www.ted.com/talks/mark_bezos_a_life_lesson_from_a_volunteer_firefighter
sal_khan_let_s_use_video_to_reinvent_education,1090,סלמאן חאן: הבה נשתמש בוידאו כדי להמציא מחדש את החינוך,2011-03-02,2011-03-09T14:46:00Z,2011,Sal Khan,44,https://www.ted.com/talks/sal_khan_let_s_use_video_to_reinvent_education
martin_jacques_understanding_the_rise_of_china,1059,מרטין ז'אק: להבין את עליית כוחה של סין,2010-10-10,2011-01-24T15:47:00Z,2010,Martin Jacques,33,https://www.ted.com/talks/martin_jacques_understanding_the_rise_of_china
thomas_thwaites_how_i_built_a_toaster_from_scratch,1051,תומאס תוואייטס: כיצד בניתי מצנם -- מאפס,2010-11-11,2011-01-12T16:17:00Z,2010,Thomas Thwaites,29,https://www.ted.com/talks/thomas_thwaites_how_i_built_a_toaster_from_scratch
marcel_dicke_why_not_eat_insects,1018,מרסל דיקה: למה שלא נאכל חרקים?,2010-07-14,2010-12-01T15:00:00Z,2010,Marcel Dicke,32,https://www.ted.com/talks/marcel_dicke_why_not_eat_insects
david_bismark_e_voting_without_fraud,997,דיויד ביסמארק: בחירות מקוונות ללא הונאה,2010-07-14,2010-11-02T08:14:00Z,2010,David Bismark,36,https://www.ted.com/talks/david_bismark_e_voting_without_fraud
jessica_jackley_poverty_money_and_love,983,"ג'סיקה ג'קלי: עוני, כסף -- ואהבה",2010-07-14,2010-10-18T09:27:00Z,2010,Jessica Jackley,35,https://www.ted.com/talks/jessica_jackley_poverty_money_and_love
stefano_mancuso_the_roots_of_plant_intelligence,976,סטפנו מנקוזו: שורשי תבונת הצמחים,2010-07-15,2010-10-11T08:55:00Z,2010,Stefano Mancuso,30,https://www.ted.com/talks/stefano_mancuso_the_roots_of_plant_intelligence
sugata_mitra_the_child_driven_education,949,סוגאטה מיטרה:  חינוך מתוך הנעה עצמית אצל ילדים,2010-07-15,2010-09-07T09:11:00Z,2010,Sugata Mitra,44,https://www.ted.com/talks/sugata_mitra_the_child_driven_education
johan_rockstrom_let_the_environment_guide_our_development,945,יוהן רוקסטרום: להניח לסביבה להנחות את התפתחותנו,2010-07-16,2010-08-31T08:42:00Z,2010,Johan Rockström,25,https://www.ted.com/talks/johan_rockstrom_let_the_environment_guide_our_development
dan_cobley_what_physics_taught_me_about_marketing,941,דן קובליי: מה פיזיקה לימדה אותי על שיווק,2010-07-15,2010-08-27T09:49:00Z,2010,Dan Cobley,37,https://www.ted.com/talks/dan_cobley_what_physics_taught_me_about_marketing
lee_hotz_inside_an_antarctic_time_machine,938,לי הוץ: במכונת הזמן של אנטארטיקה,2010-07-14,2010-08-24T08:45:00Z,2010,Lee Hotz,28,https://www.ted.com/talks/lee_hotz_inside_an_antarctic_time_machine
maz_jobrani_did_you_hear_the_one_about_the_iranian_american,935,שמעתם על הבדיחה עם האירני אמריקני,2010-07-16,2010-08-19T08:29:00Z,2010,Maz Jobrani,34,https://www.ted.com/talks/maz_jobrani_did_you_hear_the_one_about_the_iranian_american
sheena_iyengar_the_art_of_choosing,924,שינה איינגאר: אמנות הבחירה,2010-07-15,2010-07-26T08:36:00Z,2010,Sheena Iyengar,38,https://www.ted.com/talks/sheena_iyengar_the_art_of_choosing
tan_le_a_headset_that_reads_your_brainwaves,921,טאן לה: התקן ראש שקורא את גלי המוח שלך.,2010-07-16,2010-07-21T12:36:00Z,2010,Tan Le,34,https://www.ted.com/talks/tan_le_a_headset_that_reads_your_brainwaves
julian_assange_why_the_world_needs_wikileaks,918,ג'וליאן אסנג': מדוע העולם זקוק לויקיליקס,2010-07-16,2010-07-19T10:04:00Z,2010,Julian Assange,45,https://www.ted.com/talks/julian_assange_why_the_world_needs_wikileaks
hans_rosling_global_population_growth_box_by_box,912,האנס רוסלינג על גידול אוכלוסין עולמי,2010-06-21,2010-07-09T08:15:00Z,2010,Hans Rosling,47,https://www.ted.com/talks/hans_rosling_global_population_growth_box_by_box
nalini_nadkarni_life_science_in_prison,911,נליני נדקרני :מדעי החיים בבית הכלא,2010-02-11,2010-07-08T08:52:00Z,2010,Nalini Nadkarni,34,https://www.ted.com/talks/nalini_nadkarni_life_science_in_prison
benoit_mandelbrot_fractals_and_the_art_of_roughness,909,בנואה מנדלברוט: פרקטלים ואומנות החספוס,2010-02-12,2010-07-06T09:20:00Z,2010,Benoit Mandelbrot,31,https://www.ted.com/talks/benoit_mandelbrot_fractals_and_the_art_of_roughness
aditi_shankardass_a_second_opinion_on_developmental_disorders,893,אדיטי שנקרדס: חוות-דעת נוספת על הפרעות למידה,2009-11-11,2010-06-24T08:49:00Z,2009,Aditi Shankardass,45,https://www.ted.com/talks/aditi_shankardass_a_second_opinion_on_developmental_disorders
marian_bantjes_intricate_beauty_by_design,891,"מריאן בנטחס: יופי מורכב, בעיצוב",2010-02-12,2010-06-22T09:15:00Z,2010,Marian Bantjes,25,https://www.ted.com/talks/marian_bantjes_intricate_beauty_by_design
michael_shermer_the_pattern_behind_self_deception,884,מייקל שרמר: הדפוס מאחורי הונאה-עצמית,2010-02-10,2010-06-14T09:23:00Z,2010,Michael Shermer,36,https://www.ted.com/talks/michael_shermer_the_pattern_behind_self_deception
sir_ken_robinson_bring_on_the_learning_revolution,865,סר קן רובינסון:  הבו לנו את מהפכת החינוך!,2010-02-06,2010-05-24T09:06:00Z,2010,Sir Ken Robinson,50,https://www.ted.com/talks/sir_ken_robinson_bring_on_the_learning_revolution
william_li_can_we_eat_to_starve_cancer,859,האם נוכל לאכול על מנת להרעיב את הסרטן?,2010-02-10,2010-05-17T08:29:00Z,2010,William Li,39,https://www.ted.com/talks/william_li_can_we_eat_to_starve_cancer
jeremy_jackson_how_we_wrecked_the_ocean,850,ג'רמי ג'קסון: איך הרסנו את האוקיינוס,2010-04-09,2010-05-05T08:28:00Z,2010,Jeremy Jackson,25,https://www.ted.com/talks/jeremy_jackson_how_we_wrecked_the_ocean
sebastian_wernicke_lies_damned_lies_and_statistics_about_tedtalks,846,"שקרים, שקרים ענקיים, וסטטיסטיקה (על שיחות TED)",2010-02-10,2010-04-30T08:59:00Z,2010,Sebastian Wernicke,37,https://www.ted.com/talks/sebastian_wernicke_lies_damned_lies_and_statistics_about_tedtalks
james_randi_homeopathy_quackery_and_fraud,835,ג'יימס רנדי תוקף בלהט את הונאת המעלים-באוב,2007-02-02,2010-04-19T15:28:00Z,2007,James Randi,38,https://www.ted.com/talks/james_randi_homeopathy_quackery_and_fraud
adora_svitak_what_adults_can_learn_from_kids,815,"אדורה סויטק, מה המבוגרים יכולים ללמוד מהילדים",2010-02-13,2010-04-01T17:17:00Z,2010,Adora Svitak,50,https://www.ted.com/talks/adora_svitak_what_adults_can_learn_from_kids
sam_harris_science_can_answer_moral_questions,801,המדע יכול לענות על שאלות בנושאי מוסר,2010-02-11,2010-03-22T09:13:00Z,2010,סאם האריס,40,https://www.ted.com/talks/sam_harris_science_can_answer_moral_questions
srikumar_rao_plug_into_your_hard_wired_happiness,787,התחברו לאושר המובנה בתוככם.,2009-05-05,2019-04-23T16:28:43Z,2009,סריקומר ראו,23,https://www.ted.com/talks/srikumar_rao_plug_into_your_hard_wired_happiness
james_cameron_before_avatar_a_curious_boy,785,ג'יימס קמרון: לפני אווטר... ילד סקרן,2010-02-12,2010-03-04T09:10:00Z,2010,James Cameron,36,https://www.ted.com/talks/james_cameron_before_avatar_a_curious_boy
daniel_kahneman_the_riddle_of_experience_vs_memory,779,החידה של חוויה לעומת זיכרון,2010-02-10,2010-03-01T09:05:00Z,2010,דניאל כהנמן,39,https://www.ted.com/talks/daniel_kahneman_the_riddle_of_experience_vs_memory
pawan_sinha_how_brains_learn_to_see,776,פאוואן סינהא על איך שהמוח לומד לראות,2009-11-05,2010-02-25T08:40:00Z,2009,Pawan Sinha,31,https://www.ted.com/talks/pawan_sinha_how_brains_learn_to_see
temple_grandin_the_world_needs_all_kinds_of_minds,773,העולם זקוק לכל מיני מוחות,2010-02-10,2010-02-24T08:44:00Z,2010,טמפל גרנדין,37,https://www.ted.com/talks/temple_grandin_the_world_needs_all_kinds_of_minds
blaise_aguera_y_arcas_augmented_reality_maps,766,בלייס אגוורה אי ארכס מציג מפות מציאות מתוגברת,2010-02-11,2010-02-13T09:54:00Z,2010,Blaise Agüera y Arcas,28,https://www.ted.com/talks/blaise_aguera_y_arcas_augmented_reality_maps
jamie_oliver_teach_every_child_about_food,765,משאלת פרס TED של ג'יימי אוליבר: למדו כל ילד על אוכל,2010-02-20,2010-02-11T15:36:00Z,2010,Jamie Oliver,50,https://www.ted.com/talks/jamie_oliver_teach_every_child_about_food
derek_sivers_weird_or_just_different,755,"דרק סיברס: מוזר, או פשוט שונה?",2009-11-06,2010-01-29T08:54:00Z,2009,Derek Sivers,50,https://www.ted.com/talks/derek_sivers_weird_or_just_different
jane_chen_a_warm_embrace_that_saves_lives,752,ג'יין צ'ן: חיבוק חם שמציל חיים,2009-11-05,2010-01-28T09:07:00Z,2009,Jane Chen,43,https://www.ted.com/talks/jane_chen_a_warm_embrace_that_saves_lives
anthony_atala_growing_new_organs,744,אנתוני אטאלה על גידול איברים חדשים,2009-10-21,2010-01-21T08:53:00Z,2009,Anthony Atala,33,https://www.ted.com/talks/anthony_atala_growing_new_organs
david_blaine_how_i_held_my_breath_for_17_minutes,741,דיוויד בליין : איך לא נשמתי במשך 17 דקות,2009-10-27,2010-01-19T08:22:00Z,2009,David Blaine,34,https://www.ted.com/talks/david_blaine_how_i_held_my_breath_for_17_minutes
steven_cowley_fusion_is_energy_s_future,718,סטיבן קואלי: היתוך גרעיני הוא העתיד של תחום הפקת האנרגיה,2009-07-22,2009-12-22T08:41:00Z,2009,Steven Cowley,30,https://www.ted.com/talks/steven_cowley_fusion_is_energy_s_future
charles_anderson_dragonflies_that_fly_across_oceans,715,צ'ארלס אנדרסון מגלה שפיריות החוצות אוקיינוסים,2009-11-05,2009-12-17T09:06:00Z,2009,Charles Anderson,27,https://www.ted.com/talks/charles_anderson_dragonflies_that_fly_across_oceans
hans_rosling_asia_s_rise_how_and_when,695,האנס רוסלינג: עלייתה של אסיה -- איך ומתי,2009-11-04,2009-11-23T01:00:00Z,2009,Hans Rosling,36,https://www.ted.com/talks/hans_rosling_asia_s_rise_how_and_when
cynthia_schneider_the_surprising_spread_of_idol_tv,684,"סינתיה שניידר: התפשטותן המפתיעה של תוכניות ה""איידול"" בטלויזיה",2009-07-07,2009-11-13T01:00:00Z,2009,Cynthia Schneider,29,https://www.ted.com/talks/cynthia_schneider_the_surprising_spread_of_idol_tv
becky_blanton_the_year_i_was_homeless,669,בקי בלנטון: השנה שבה הייתי חסרת בית,2009-07-23,2009-10-28T08:29:00Z,2009,Becky  Blanton,37,https://www.ted.com/talks/becky_blanton_the_year_i_was_homeless
ian_goldin_navigating_our_global_future,665,איאן גולדין: מנווטים בעתידנו הגלובלי,2009-07-23,2009-10-23T01:00:00Z,2009,Ian Goldin,29,https://www.ted.com/talks/ian_goldin_navigating_our_global_future
sam_martin_claim_your_manspace,654,"סם מרטין: העולם המוזר של ""האזור הגברי""",2009-07-24,2009-10-09T08:40:00Z,2009,Sam Martin,34,https://www.ted.com/talks/sam_martin_claim_your_manspace
chimamanda_ngozi_adichie_the_danger_of_a_single_story,652,צ'יממנדה אדיצ'יה: הסכנה שבסיפור יחיד,2009-07-23,2009-10-07T01:00:00Z,2009,Chimamanda Ngozi Adichie,49,https://www.ted.com/talks/chimamanda_ngozi_adichie_the_danger_of_a_single_story
stefan_sagmeister_the_power_of_time_off,649,סטפן סגמייסטר: כוחו של פסק זמן,2009-07-23,2009-10-02T01:00:00Z,2009,Stefan Sagmeister,29,https://www.ted.com/talks/stefan_sagmeister_the_power_of_time_off
william_kamkwamba_how_i_harnessed_the_wind,642,וויליאם קמקוומבה: איך רתמתי את הרוח,2009-07-23,2009-09-23T08:21:00Z,2009,William Kamkwamba,46,https://www.ted.com/talks/william_kamkwamba_how_i_harnessed_the_wind
oliver_sacks_what_hallucination_reveals_about_our_minds,637,אוליבר סאקס: מה הזיות מגלות אודות הנפש שלנו,2009-02-05,2009-09-17T01:00:00Z,2009,Oliver Sacks,39,https://www.ted.com/talks/oliver_sacks_what_hallucination_reveals_about_our_minds
dan_pink_the_puzzle_of_motivation,618,הפאזל של המוטיבציה,2009-07-24,2009-08-24T01:00:00Z,2009,דן פינק,44,https://www.ted.com/talks/dan_pink_the_puzzle_of_motivation
